SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.SMA,SatVenus.Venus.RadPer,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771076,-1406.651584,8072.298168,1.282806588,-8.297249948,-1.480411229,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,359.9999988
59.99999988,0.000694444,294.1875191,-1902.817931,7974.939298,1.273759101,-8.238730399,-1.764185212,0.772157978,8.525348454,49348.73963,8196.82638,0.833899985,90,98.7887,100.0000006,120850.0356,3.573420137
254.4253475,0.002944738,537.7049393,-3477.899413,7545.573132,1.227027412,-7.936467761,-2.638115347,0.772158099,8.525348382,49348.73231,8196.826405,0.83389996,90,98.7887,100.0000029,120850.0087,15.0041239
469.1332986,0.005429784,793.3191298,-5131.223342,6886.719396,1.150464994,-7.441258647,-3.471772097,0.772158031,8.525348375,49348.7367,8196.826478,0.833899973,90,98.7887,100.000006,120850.0249,27.01416993
696.7720288,0.008064491,1044.267133,-6754.366165,6013.820245,1.052517552,-6.807730243,-4.163208408,0.772157741,8.525348437,49348.75487,8196.82662,0.833900032,90,98.7887,100.0000104,120850.0916,38.65523889
969.6763623,0.011223106,1314.631147,-8503.09261,4793.789055,0.929012155,-6.008891852,-4.734153229,0.772157144,8.525348581,49348.79215,8196.82688,0.833900152,90,98.7887,100.0000172,120850.2286,50.87559184
1221.813794,0.014141363,1534.980062,-9928.31917,3556.045457,0.820318466,-5.305856249,-5.055482261,0.77215641,8.525348759,49348.83806,8196.827199,0.8339003,90,98.7887,100.0000249,120850.3972,60.50771834
1484.234968,0.017178645,1736.603866,-11232.43088,2202.736702,0.718451197,-4.646974231,-5.237001,0.772155516,8.525348979,49348.89393,8196.827582,0.83390048,90,98.7887,100.000034,120850.6025,69.03186941
1774.942619,0.020543317,1930.875307,-12488.98718,666.4075552,0.620714021,-4.014805839,-5.31546878,0.772154427,8.525349267,49348.96187,8196.828012,0.8339007,90,98.7887,100.0000448,120850.852,76.98136735
2108.168462,0.024400098,2121.583042,-13722.49328,-1105.681815,0.526929935,-3.40820621,-5.307251046,0.772153108,8.525349674,49349.04379,8196.828423,0.833900968,90,98.7887,100.0000573,120851.1529,84.55270475
