SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.SMA,SatVenus.Venus.RadPer,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771094,-1406.651596,8072.298165,1.282806588,-8.297249947,-1.480411236,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,0
59.99999988,0.000694444,294.1875209,-1902.817942,7974.939296,1.273759101,-8.238730397,-1.764185219,0.772157978,8.525348454,49348.73963,8196.82638,0.833899985,90,98.7887,100.0000006,120850.0356,3.573420222
255.2376828,0.00295414,538.7015987,-3484.34585,7543.428693,1.226781364,-7.934876312,-2.641564431,0.772158099,8.525348382,49348.7323,8196.826405,0.83389996,90,98.7887,100.0000029,120850.0087,15.05103889
469.9940441,0.005439746,794.3092402,-5137.627421,6883.729787,1.150119103,-7.439021405,-3.474772222,0.77215803,8.525348375,49348.73674,8196.826479,0.833899974,90,98.7887,100.0000061,120850.025,27.06049222
697.7465589,0.00807577,1045.292631,-6760.999131,6009.761839,1.052079337,-6.804895849,-4.165729952,0.772157739,8.525348437,49348.75498,8196.82662,0.833900032,90,98.7887,100.0000104,120850.092,38.70230674
970.4340959,0.011231876,1315.334964,-8507.644926,4790.201355,0.928673507,-6.006701466,-4.735387312,0.772157142,8.525348581,49348.79227,8196.826881,0.833900152,90,98.7887,100.0000172,120850.229,50.90685802
1222.544922,0.014149825,1535.57971,-9932.197722,3552.348994,0.820017296,-5.30390827,-5.056179475,0.772156407,8.52534876,49348.83821,8196.8272,0.8339003,90,98.7887,100.0000249,120850.3978,60.53348735
1485.024881,0.017187788,1737.171267,-11236.10086,2198.599776,0.718164082,-4.645117159,-5.237364782,0.772155513,8.52534898,49348.89411,8196.827583,0.833900481,90,98.7887,100.000034,120850.6031,69.05545971
1775.834512,0.02055364,1931.428795,-12492.56717,661.6666768,0.620438045,-4.013020813,-5.315563678,0.772154423,8.525349268,49348.96209,8196.828013,0.833900701,90,98.7887,100.0000448,120850.8528,77.00365983
2109.203658,0.024412079,2122.128381,-13726.02056,-1111.175796,0.526666034,-3.406499287,-5.307113189,0.772153104,8.525349676,49349.04405,8196.828424,0.833900968,90,98.7887,100.0000573,120851.1539,84.57406019
2499.289756,0.028926965,2309.565614,-14938.3729,-3166.862814,0.437663301,-2.830825654,-5.223137034,0.772151522,8.525350311,49349.14144,8196.828647,0.833901292,89.99999999,98.7887,100.000071,120851.5116,91.83259841
2956.143796,0.034214627,2489.945432,-16105.07757,-5520.743405,0.355409176,-2.298802318,-5.076128042,0.772149673,8.525351369,49349.25352,8196.828328,0.833901675,89.99999998,98.78869999,100.0000844,120851.9233,98.71476879
3487.632945,0.040366122,2658.323121,-17194.15193,-8167.37492,0.281482008,-1.820638098,-4.881320964,0.772147567,8.525353179,49349.37763,8196.826849,0.833902123,89.99999996,98.78869998,100.0000948,120852.3792,105.1467486
4110.670291,0.047577202,2812.215603,-18189.53531,-11136.38378,0.215616632,-1.394617907,-4.650549533,0.772145186,8.525356316,49349.51167,8196.823167,0.833902649,89.99999991,98.78869996,100.0000981,120852.8716,111.1760478
4855.070277,0.056192943,2949.720102,-19078.92047,-14500.0308,0.15674768,-1.013850881,-4.39024751,0.772142464,8.525361813,49349.65376,8196.815433,0.833903284,89.99999983,98.78869991,100.0000882,120853.3936,116.9093603
5762.251192,0.066692722,3066.745983,-19835.84897,-18350.37383,0.104043282,-0.672956433,-4.104148393,0.772139298,8.525371516,49349.79996,8196.800341,0.833904082,89.99999969,98.78869978,100.0000546,120853.9306,122.4350427
6817.204055,0.078902825,3151.764406,-20385.75173,-22522.79569,0.059514775,-0.384943987,-3.812966493,0.772135752,8.525387461,49349.93433,8196.774081,0.833905066,89.99999945,98.78869954,99.99998577,120854.4242,127.5143789
8046.670433,0.09313276,3200.574539,-20701.45748,-27026.55777,0.021911506,-0.141724231,-3.521024205,0.77213169,8.525412909,49350.04661,8196.73076,0.833906322,89.99999907,98.78869909,99.99986688,120854.8366,132.2220271
9485.05246,0.1097807,3207.996312,-20749.46118,-31876.30682,-0.009858507,0.063765831,-3.230307346,0.772126887,8.525452557,49350.12408,8196.661922,0.833907977,89.99999848,98.78869826,99.99967914,120855.1212,136.628601
11172.85324,0.129315431,3167.495362,-20487.498,-37078.09012,-0.036645816,0.237027663,-2.941834002,0.772120997,8.525512982,49350.15079,8196.55575,0.833910219,89.99999759,98.78869679,99.99939959,120855.2194,140.7903983
13157.73113,0.152288555,3071.182722,-19864.54133,-42625.4134,-0.059119808,0.382390922,-2.655946866,0.772113509,8.52560318,49350.10725,8196.39612,0.833913307,89.99999629,98.78869424,99.99900144,120855.0594,144.754186
15492.61596,0.179312685,2910.063577,-18822.41153,-48486.73683,-0.077789044,0.503145078,-2.372808046,0.772103715,8.525734919,49349.97072,8196.161972,0.833917592,89.99999445,98.78868993,99.99845611,120854.5579,148.5561833
18192.61596,0.210562685,2678.453734,-17324.34182,-54509.78689,-0.092854717,0.600591535,-2.096382117,0.772090887,8.525919664,49349.72126,8195.832832,0.833923422,89.99999198,98.78868295,99.99774853,120853.6415,152.1746277
20892.61596,0.241812685,2412.63612,-15605.01172,-59842.33324,-0.10345139,0.669132496,-1.859185405,0.772076391,8.526135976,49349.39576,8195.447015,0.833930145,89.99998927,98.78867365,99.99698562,120852.4459,155.2214626
23592.61596,0.273062685,2122.480366,-13728.25792,-64575.19707,-0.111068863,0.718404047,-1.650776515,0.772060272,8.52638011,49349.01303,8195.011395,0.833937684,89.99998648,98.7886619,99.99619139,120851.0399,157.8634015
26292.61596,0.304312685,1814.741422,-11737.77126,-68776.09845,-0.116590179,0.754117737,-1.464182248,0.772042648,8.526648107,49348.5885,8194.533173,0.833945946,89.99998373,98.78864765,99.99538567,120849.4805,160.2066095
28992.61596,0.335562685,1494.274633,-9664.955881,-72496.99275,-0.120570695,0.779865622,-1.29453321,0.772023681,8.526935925,49348.13513,8194.019662,0.833954826,89.99998117,98.78863092,99.99458473,120847.8151,162.3226393
31692.61596,0.366812685,1164.714039,-7533.316506,-75778.62623,-0.123375925,0.798011836,-1.138300329,0.772003565,8.527239529,49347.66395,8193.478137,0.833964215,89.99997893,98.78861179,99.99380169,120846.0843,164.2619501
34392.61596,0.398062685,828.8759795,-5361.069016,-78653.49516,-0.125255013,0.810167841,-0.992843657,0.77198251,8.527554943,49347.18451,8192.915739,0.833973998,89.99997713,98.78859041,99.99304694,120844.3232,166.0614855
37092.61596,0.429312685,489.0120739,-3162.776694,-81147.84071,-0.126382353,0.817461597,-0.856133011,0.771960738,8.527878297,49346.70516,8192.33941,0.833984065,89.99997586,98.78856696,99.99232846,120842.5624,167.7491764
39792.61596,0.460562685,146.9748715,-950.4216959,-83283.03529,-0.126882339,0.820697674,-0.726567959,0.771938469,8.528205855,49346.23328,8191.755839,0.833994303,89.99997523,98.7885417,99.9916521,120840.8291,169.3467488
42492.61596,0.491812685,-195.6694218,1265.86584,-85076.57027,-0.126844691,0.820456351,-0.602857687,0.771915928,8.528534034,49345.77541,8191.171428,0.834004606,89.99997528,98.78851489,99.99102181,120839.1472,170.8715491
45192.61596,0.523062685,-537.5614888,3477.293864,-86542.77359,-0.126334243,0.817156947,-0.483938284,0.771893329,8.528859427,49345.33742,8190.592257,0.83401487,89.99997606,98.78848686,99.99043987,120837.5384,172.3377724
47892.61596,0.554312685,-877.4909576,5676.033637,-87693.33898,-0.125397351,0.811099271,-0.368914107,0.771870881,8.529178816,49344.92459,8190.024067,0.834024996,89.9999776,98.78845795,99.98990707,120836.0219,173.757319
50592.61596,0.585562685,-1214.352648,7854.936722,-88537.7196,-0.124066153,0.80249116,-0.257015044,0.771848784,8.529489185,49344.54167,8189.472231,0.834034891,89.99997989,98.78842851,99.98942282,120834.6154,175.1404101
53292.61596,0.616812685,-1547.112275,10007.31314,-89083.42179,-0.122361406,0.791466835,-0.147564449,0.771827224,8.529787728,49344.19297,8188.941741,0.834044469,89.9999829,98.78839894,99.98898535,120833.3346,176.4960448
55992.61596,0.648062685,-1874.778405,12126.75001,-89336.22261,-0.120294342,0.778098918,-0.039954345,0.771806372,8.530071867,49343.88237,8188.437186,0.83405365,89.99998657,98.78836964,99.98859182,120832.1937,177.8323538
58692.61596,0.679312685,-2196.378441,14206.95616,-89300.32747,-0.117867819,0.762405852,0.066374456,0.771786387,8.530339256,49343.61338,8187.962739,0.83406236,89.99999085,98.78834099,99.98823842,120831.2056,179.156882
61392.61596,0.710562685,-2510.936912,16241.62176,-88978.4789,-0.115076913,0.744355759,0.171948949,0.771767408,8.530587792,49343.38917,8187.522135,0.834070536,89.99999561,98.7883134,99.98792054,120830.3821,180.4768291
64092.61596,0.741812685,-2817.454753,18224.28426,-88372.02348,-0.111909056,0.723867298,0.277278484,0.771749558,8.530815628,49343.21256,8187.118655,0.834078119,90.00000075,98.78828726,99.9876328,120829.7333,181.7992638
66792.61596,0.773062685,-3114.888351,20148.19285,-87480.94115,-0.10834373,0.700807722,0.382868253,0.771732941,8.531021185,49343.08605,8186.755108,0.834085061,90.00000611,98.78826295,99.98736923,120829.2687,183.1313291
69492.61596,0.804312685,-3402.127175,22006.16377,-86303.8385,-0.10435172,0.674988028,0.489232579,0.771717641,8.531203159,49343.01184,8186.433808,0.834091323,90.00001154,98.78824083,99.98712336,120828.9961,184.4804538
72192.61596,0.835562685,-3677.968721,23790.41828,-84837.90562,-0.099893852,0.646154779,0.596908849,0.771703718,8.531360539,49342.99177,8186.156555,0.834096875,90.00001684,98.78822122,99.9868883,120828.9224,185.8545827
74892.61596,0.866812685,-3941.089202,25492.39301,-83078.83329,-0.094919084,0.613977778,0.706473018,0.771691214,8.531492618,49343.02737,8185.924604,0.834101695,90.00002183,98.78820442,99.98665691,120829.0531,187.2624463
77592.61596,0.898062685,-4190.008016,27102.51018,-81020.68512,-0.089361751,0.57803226,0.818557795,0.771680145,8.531599014,49343.1198,8185.738644,0.834105774,90.00002628,98.78819067,99.98642188,120829.3926,188.7138911
80292.61596,0.929312685,-4423.043274,28609.88989,-78655.71523,-0.08313764,0.537773452,0.933874977,0.771670503,8.531679679,49343.26981,8185.598759,0.834109114,90.00002998,98.78818018,99.98617594,120829.9436,190.2203041
82992.61596,0.960562685,-4638.254566,30001.97997,-75974.11794,-0.076138349,0.492500149,1.053243953,0.771662255,8.531734929,49343.47771,8185.504396,0.834111725,90.00003269,98.78817308,99.98591195,120830.7073,191.7951774
85692.61596,0.991812685,-4833.367332,31264.06671,-72963.68897,-0.068223127,0.441301876,1.177629303,0.77165534,8.53176546,49343.74329,8185.454325,0.834113633,90.00003419,98.78816944,99.98562313,120831.6828,193.4548874
87382.8924,1.011376069,-4944.098111,31980.33034,-70905.13641,-0.062721633,0.405716158,1.258558288,0.771651653,8.531772468,49343.93856,8185.444681,0.834114485,90.00003442,98.78816892,99.98542689,120832.4001,194.5459564
87442.8924,1.012070514,-4950.841825,32023.95162,-70873.77844,-0.112293339,0.726362272,0.5240926,0.882532555,8.523503297,43186.25039,8104.003114,0.81234761,90.00002344,98.78819299,112.0048665,98935.222,182.5656118
87746.83089,1.015588321,-4984.814641,32243.70261,-70712.23935,-0.111255714,0.719650504,0.538879142,0.882532473,8.523503009,43186.25589,8104.003706,0.81234762,90.00002341,98.78819305,112.0048286,98935.2409,182.7638527
