SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.SMA,SatVenus.Venus.RadPer,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771093,-1406.651595,8072.298166,1.282806588,-8.297249947,-1.480411235,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,0
59.99999988,0.000694444,294.1875208,-1902.817942,7974.939296,1.273759101,-8.238730397,-1.764185218,0.772157978,8.525348454,49348.73963,8196.82638,0.833899985,90,98.7887,100.0000006,120850.0356,3.573420216
254.8334218,0.002949461,538.2056338,-3481.137927,7544.496228,1.226903858,-7.93566861,-2.639848236,0.772158099,8.525348382,49348.7323,8196.826405,0.83389996,90,98.7887,100.0000029,120850.0087,15.02769269
469.5657177,0.005434788,793.8165767,-5134.440851,6885.217805,1.150291257,-7.440134907,-3.473279654,0.77215803,8.525348375,49348.73672,8196.826479,0.833899973,90,98.7887,100.0000061,120850.0249,27.03744326
697.261557,0.008070157,1044.782317,-6757.698402,6011.781922,1.052297438,-6.806306534,-4.164475495,0.77215774,8.525348437,49348.75492,8196.82662,0.833900032,90,98.7887,100.0000104,120850.0918,38.67888521
970.0570774,0.011227512,1314.984805,-8505.380084,4791.986567,0.928841998,-6.007791271,-4.734773505,0.772157143,8.525348581,49348.79221,8196.826881,0.833900152,90,98.7887,100.0000172,120850.2288,50.89130303
1222.181121,0.014145615,1535.28136,-9930.267981,3554.188372,0.820167143,-5.304877486,-5.055832701,0.772156409,8.525348759,49348.83814,8196.8272,0.8339003,90,98.7887,100.0000249,120850.3975,60.5206665
1484.631736,0.017183238,1736.888897,-11234.27447,2200.658785,0.718306966,-4.646041339,-5.237183845,0.772155514,8.52534898,49348.89402,8196.827582,0.833900481,90,98.7887,100.000034,120850.6028,69.04372013
1775.390467,0.020548501,1931.153262,-12490.78501,664.0270177,0.620575427,-4.013909406,-5.315516525,0.772154425,8.525349267,49348.96198,8196.828012,0.833900701,90,98.7887,100.0000448,120850.8524,76.99256261
2108.688227,0.024406114,2121.856887,-13724.26453,-1108.440325,0.526797413,-3.407349046,-5.3071819,0.772153106,8.525349675,49349.04392,8196.828424,0.833900968,90,98.7887,100.0000573,120851.1534,84.56342871
2498.684197,0.028919956,2309.300546,-14936.65843,-3163.699845,0.437786661,-2.831623549,-5.223306108,0.772151525,8.52535031,49349.14128,8196.828647,0.833901291,89.99999999,98.7887,100.000071,120851.5111,91.82243169
2955.437903,0.034206457,2489.694511,-16103.4546,-5517.160112,0.355521288,-2.299527461,-5.076376549,0.772149676,8.525351367,49349.25335,8196.828329,0.833901675,89.99999998,98.78869999,100.0000844,120851.9227,98.70522063
3486.810886,0.040356607,2658.091685,-17192.65499,-8163.362059,0.281582013,-1.821284936,-4.881628156,0.77214757,8.525353175,49349.37745,8196.826853,0.833902122,89.99999996,98.78869998,100.0000948,120852.3786,105.1378373
4109.699218,0.047565963,2812.00618,-18188.18075,-11131.86759,0.215705759,-1.395194385,-4.65090242,0.772145189,8.52535631,49349.51147,8196.823174,0.833902648,89.99999991,98.78869996,100.0000981,120852.8709,111.167645
4853.896121,0.056179353,2949.536009,-19077.72975,-14494.87574,0.156827634,-1.014368024,-4.390640485,0.772142469,8.525361803,49349.65356,8196.815449,0.833903283,89.99999983,98.78869991,100.0000882,120853.3928,116.9012945
5760.888417,0.066676949,3066.604149,-19834.93159,-18344.78053,0.104110795,-0.673393112,-4.104552322,0.772139303,8.525371499,49349.79976,8196.800369,0.83390408,89.99999969,98.78869978,100.0000547,120853.9299,122.427664
6815.619178,0.078884481,3151.670038,-20385.14135,-22516.75228,0.059571746,-0.385312479,-3.813373574,0.772135757,8.525387433,49349.93416,8196.774128,0.833905065,89.99999945,98.78869954,99.99998589,120854.4236,127.5075748
8044.819622,0.093111338,3200.533941,-20701.19489,-27020.04065,0.021959647,-0.142035611,-3.52143069,0.772131696,8.525412865,49350.04647,8196.730836,0.83390632,89.99999907,98.78869909,99.99986709,120854.8361,132.215688
9482.883565,0.109755597,3208.01765,-20749.59919,-31869.30018,-0.009817855,0.063502892,-3.230711263,0.772126895,8.525452489,49350.124,8196.662041,0.833907975,89.99999848,98.78869826,99.99967946,120855.121,136.6226394
