SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.SMA,SatVenus.Venus.RadPer,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771078,-1406.651586,8072.298167,1.282806588,-8.297249948,-1.48041123,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,0
59.99999988,0.000694444,294.1875193,-1902.817932,7974.939298,1.273759101,-8.238730399,-1.764185213,0.772157978,8.525348454,49348.73963,8196.82638,0.833899985,90,98.7887,100.0000006,120850.0356,3.573420146
255.5623384,0.002957897,539.0998625,-3486.921838,7542.570874,1.226682923,-7.934239589,-2.642942316,0.772158099,8.525348382,49348.7323,8196.826405,0.83389996,90,98.7887,100.0000029,120850.0087,15.06978612
470.3379815,0.005443727,794.7047838,-5140.185814,6882.534481,1.149980823,-7.438127002,-3.4759702,0.77215803,8.525348375,49348.73676,8196.826479,0.833899974,90,98.7887,100.0000061,120850.0251,27.07899705
698.1361499,0.00808028,1045.702476,-6763.650028,6008.138717,1.051904126,-6.803762578,-4.166736968,0.772157738,8.525348437,49348.75502,8196.826621,0.833900032,90,98.7887,100.0000104,120850.0922,38.72111629
970.7361863,0.011235373,1315.615486,-8509.459356,4788.77077,0.928538512,-6.005828312,-4.735878813,0.772157142,8.525348581,49348.79232,8196.826881,0.833900152,90,98.7887,100.0000172,120850.2292,50.91931901
1222.836411,0.014153199,1535.818718,-9933.743636,3550.875137,0.819897251,-5.30313181,-5.056457105,0.772156407,8.52534876,49348.83827,8196.827201,0.833900301,90,98.7887,100.0000249,120850.398,60.54375768
1485.339712,0.017191432,1737.397349,-11237.56317,2196.950871,0.718049682,-4.644377213,-5.237509506,0.772155512,8.52534898,49348.89418,8196.827583,0.833900481,90,98.7887,100.000034,120850.6034,69.06485867
1776.190074,0.020557755,1931.649378,-12493.99392,659.7766655,0.620328064,-4.012309454,-5.315601299,0.772154422,8.525349268,49348.96217,8196.828014,0.833900701,90,98.7887,100.0000448,120850.8531,77.0125436
2109.616467,0.024416857,2122.345771,-13727.42665,-1113.3666,0.526560843,-3.405818901,-5.307058059,0.772153102,8.525349676,49349.04415,8196.828425,0.833900969,90,98.7887,100.0000573,120851.1543,84.58257272
