SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.RadPer,SatVenus.Venus.SMA,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771076,-1406.651584,8072.298168,1.282806588,-8.297249948,-1.480411229,0.772157906,8.525348489,8196.826378,49348.744,0.8339,90,98.7887,100,120850.0517,0
59.99999988,0.000694444,294.1875191,-1902.817931,7974.939298,1.273759101,-8.238730399,-1.764185212,0.772157978,8.525348454,8196.82638,49348.73963,0.833899985,90,98.7887,100.0000006,120850.0356,3.573420137
254.5070623,0.002945684,537.8052043,-3478.547931,7545.357545,1.227002679,-7.936307786,-2.638462387,0.772158099,8.525348382,8196.826405,49348.73231,0.83389996,90,98.7887,100.0000029,120850.0087,15.00884359
469.220039,0.005430787,793.41892,-5131.86879,6886.41824,1.150430149,-7.441033266,-3.47207456,0.772158031,8.525348375,8196.826478,49348.7367,0.833899973,90,98.7887,100.000006,120850.0249,27.01883871
696.8702002,0.008065627,1044.370458,-6755.034476,6013.411524,1.052473412,-6.80744474,-4.163462587,0.772157741,8.525348437,8196.82662,49348.75488,0.833900032,90,98.7887,100.0000104,120850.0917,38.65998148
969.7530265,0.011223993,1314.702368,-8503.553268,4793.42611,0.92897789,-6.008670223,-4.734278169,0.772157144,8.525348581,8196.82688,49348.79216,0.833900152,90,98.7887,100.0000172,120850.2286,50.87875586
1221.887807,0.01414222,1535.040775,-9928.711862,3555.671287,0.820287974,-5.305659028,-5.055552895,0.77215641,8.525348759,8196.827199,49348.83808,0.8339003,90,98.7887,100.0000249,120850.3973,60.51032748
1484.314885,0.01717957,1736.661281,-11232.80225,2202.318174,0.718422144,-4.646786313,-5.237037848,0.772155515,8.525348979,8196.827582,49348.89395,0.83390048,90,98.7887,100.000034,120850.6025,69.03425661
1775.032963,0.020544363,1930.931382,-12489.34989,665.9273388,0.62068606,-4.014624986,-5.315478427,0.772154426,8.525349267,8196.828012,49348.9619,0.8339007,90,98.7887,100.0000448,120850.8521,76.98362598
2108.273389,0.024401312,2121.638329,-13722.85088,-1106.238687,0.526903179,-3.408033151,-5.307237099,0.772153107,8.525349674,8196.828423,49349.04382,0.833900968,90,98.7887,100.0000573,120851.153,84.55486988
2498.196527,0.028914312,2309.087026,-14935.27737,-3161.152558,0.437886035,-2.832266309,-5.223442201,0.772151527,8.525350309,8196.828647,49349.14116,0.833901291,89.99999999,98.7887,100.000071,120851.5106,91.81424194
2954.869417,0.034199878,2489.492376,-16102.14718,-5514.2742,0.355611607,-2.300111647,-5.076576651,0.772149678,8.525351365,8196.82833,49349.25321,0.833901674,89.99999998,98.78869999,100.0000844,120851.9222,98.6975289
3486.148787,0.040348944,2657.905223,-17191.44894,-8160.12985,0.281662587,-1.821806096,-4.881875571,0.772147573,8.525353172,8196.826856,49349.3773,0.833902122,89.99999996,98.78869998,100.0000948,120852.378,105.1306579
4108.916254,0.047556901,2811.837262,-18187.08818,-11128.22598,0.215777649,-1.395659369,-4.65118697,0.772145192,8.525356305,8196.82318,49349.51131,0.833902647,89.99999991,98.78869996,100.0000981,120852.8703,111.160868
4852.950856,0.056168413,2949.387734,-19076.7707,-14490.72526,0.156892027,-1.014784521,-4.390956896,0.772142472,8.525361795,8196.815461,49349.65339,0.833903282,89.99999983,98.78869991,100.0000883,120853.3922,116.8947991
5759.792352,0.066664263,3066.490007,-19834.19331,-18340.28149,0.104165117,-0.673744469,-4.104877252,0.772139307,8.525371485,8196.800391,49349.7996,0.833904079,89.99999969,98.78869978,100.0000547,120853.9293,122.4217276
6814.345224,0.078869736,3151.594117,-20384.65029,-22511.894,0.059617559,-0.3856088,-3.813700856,0.772135761,8.52538741,8196.774166,49349.93402,0.833905063,89.99999945,98.78869954,99.99998599,120854.4231,127.502104
8043.33215,0.093094122,3200.501248,-20700.98343,-27014.80237,0.021998353,-0.142285965,-3.521757443,0.772131701,8.525412829,8196.730897,49350.04636,0.833906318,89.99999907,98.78869909,99.99986726,120854.8357,132.210592
9481.140715,0.109735425,3208.034733,-20749.70969,-31863.66925,-0.009785174,0.063291514,-3.231035905,0.772126901,8.525452434,8196.662136,49350.12394,0.833907973,89.99999848,98.78869826,99.99967972,120855.1207,136.6178475
11168.25787,0.129262244,3167.663621,-20488.58632,-37064.56963,-0.036584111,0.236628551,-2.942556222,0.772121013,8.525512797,8196.556077,49350.15081,0.833910212,89.9999976,98.78869679,99.99940043,120855.2194,140.7801989
13152.32226,0.152225952,3071.502353,-19866.60873,-42611.04581,-0.059068235,0.382057342,-2.656662601,0.772113531,8.525602906,8196.396605,49350.10746,0.833913298,89.99999629,98.78869425,99.99900261,120855.0602,144.7444316
15486.28072,0.17923936,2910.556254,-18825.5982,-48471.70229,-0.077746668,0.502870987,-2.373514083,0.772103743,8.525734526,8196.162672,49349.9712,0.833917579,89.99999445,98.78868994,99.99845768,120854.5596,148.5468326
18186.28072,0.21048936,2679.041898,-17328.14611,-54496.50391,-0.092825351,0.600401593,-2.096979806,0.772090919,8.525919192,8195.833673,49349.72194,0.833923407,89.99999198,98.78868297,99.99775027,120853.644,152.1668882
20886.28072,0.24173936,2413.291443,-15609.2504,-59830.55321,-0.103430447,0.668997033,-1.859704999,0.772076427,8.526135434,8195.447982,49349.3966,0.833930128,89.99998928,98.78867368,99.99698746,120852.4489,155.2148381
23586.28072,0.27298936,2123.183965,-13732.80887,-64564.73755,-0.111053709,0.718306032,-1.65123775,0.772060312,8.526379508,8195.012469,49349.01398,0.833937665,89.99998648,98.78866193,99.99619327,120851.0434,157.8575855
26286.28072,0.30423936,1815.480013,-11742.54855,-68766.82119,-0.1165792,0.754046719,-1.464598638,0.772042691,8.526647453,8194.534339,49348.58954,0.833945926,89.99998374,98.78864768,99.99538756,120849.4843,160.2014004
28986.28072,0.33548936,1495.038453,-9669.896354,-72488.79037,-0.120562847,0.779814856,-1.294914389,0.772023727,8.52693523,8194.020902,49348.13622,0.833954805,89.99998117,98.78863096,99.99458659,120847.8191,162.3178978
31686.28072,0.36673936,1165.495637,-7538.371989,-75771.41371,-0.123370507,0.797976789,-1.138653402,0.772003613,8.527238801,8193.479435,49347.66507,0.833964192,89.99997893,98.78861184,99.9938035,120846.0884,164.2575758
34386.28072,0.39798936,829.6694887,-5366.20155,-78647.20421,-0.125251541,0.810145377,-0.993174019,0.771982561,8.527554192,8192.917078,49347.18564,0.833973975,89.99997713,98.78859046,99.99304867,120844.3273,166.0574036
37086.28072,0.42923936,489.8127301,-3167.955469,-81142.41592,-0.126380483,0.817449497,-0.856444865,0.771960789,8.527877532,8192.340774,49346.70628,0.833984041,89.99997587,98.78856702,99.9923301,120842.5665,167.7453294
39786.28072,0.46048936,147.7786996,-955.6209995,-83278.43137,-0.126881825,0.820694343,-0.72686466,0.771938522,8.528205084,8191.757212,49346.23437,0.833994279,89.99997523,98.78854176,99.99165363,120840.8331,169.3430916
42486.28072,0.49173936,-194.8658285,1260.668041,-85072.75012,-0.126845355,0.820460635,-0.603141972,0.771915981,8.528533266,8191.172795,49345.77646,0.834004582,89.99997528,98.78851496,99.99102323,120839.1511,170.868045
45186.28072,0.52298936,-536.761126,3472.116946,-86539.70686,-0.126335955,0.817168015,-0.484212433,0.771893382,8.528858669,8190.593605,49345.33842,0.834014846,89.99997606,98.78848693,99.99044118,120837.542,172.334391
47886.28072,0.55423936,-876.6965272,5670.895076,-87691.00098,-0.125400021,0.811116535,-0.36918006,0.771870934,8.529178076,8190.025383,49344.92552,0.834024972,89.9999776,98.78845801,99.98990826,120836.0254,173.7540346
50586.28072,0.58548936,-1213.566649,7849.852677,-88536.09052,-0.12406972,0.802514225,-0.257274487,0.771848836,8.529488469,8189.473503,49344.54253,0.834034868,89.99997988,98.78842858,99.9894239,120834.6186,175.1372003
53286.28072,0.61673936,-1546.337072,10002.29892,-89082.48613,-0.122365833,0.791495463,-0.147818881,0.771827274,8.529787044,8188.942957,49344.19374,0.834044447,89.99998289,98.78839901,99.98898632,120833.3374,176.4928896
55986.28072,0.64798936,-1874.016296,12121.82046,-89335.9687,-0.120299613,0.778133003,-0.040205129,0.77180642,8.530071219,8188.438337,49343.88305,0.834053629,89.99998657,98.7883697,99.98859269,120832.1962,177.8292349
