SatVenus.ElapsedSecs,SatVenus.ElapsedDays,SatVenus.VenusMJ2000Eq.X,SatVenus.VenusMJ2000Eq.Y,SatVenus.VenusMJ2000Eq.Z,SatVenus.VenusMJ2000Eq.VX,SatVenus.VenusMJ2000Eq.VY,SatVenus.VenusMJ2000Eq.VZ,SatVenus.Venus.VelApoapsis,SatVenus.Venus.VelPeriapsis,SatVenus.Venus.SMA,SatVenus.Venus.RadPer,SatVenus.Venus.ECC,SatVenus.VenusMJ2000Eq.INC,SatVenus.VenusMJ2000Eq.RAAN,SatVenus.VenusMJ2000Eq.AOP,SatVenus.Venus.OrbitPeriod,SatVenus.Venus.TA
0,0,217.4771094,-1406.651596,8072.298165,1.282806588,-8.297249947,-1.480411236,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,0
59.99999988,0.000694444,294.1875211,-1902.817944,7974.939297,1.273759107,-8.238730439,-1.764185181,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,3.573420868
255.6418639,0.002958818,539.1974189,-3487.552837,7542.360698,1.226658821,-7.934083697,-2.64327961,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,15.07438118
470.4222051,0.005444701,794.8016479,-5140.812335,6882.241789,1.149946982,-7.43790812,-3.476263108,0.772157906,8.525348489,49348.744,8196.826378,0.8339,90,98.7887,100,120850.0517,27.08353424
698.2315584,0.008081384,1045.802851,-6764.299258,6007.741357,1.051861241,-6.803485196,-4.166982845,0.772157906,8.525348488,49348.74399,8196.826378,0.8339,90,98.7887,100,120850.0517,38.725732
970.8105123,0.011236233,1315.68452,-8509.905874,4788.419185,0.92850531,-6.005613555,-4.735998703,0.772157906,8.525348488,49348.74398,8196.826379,0.8339,90,98.7887,100,120850.0516,50.92240002
1222.908168,0.01415403,1535.877571,-9934.124296,3550.513013,0.819867683,-5.302940565,-5.056524096,0.772157907,8.525348488,49348.74397,8196.826379,0.8339,90,98.7887,100,120850.0516,60.5463072
1485.417313,0.01719233,1737.453079,-11237.92363,2196.545542,0.718021423,-4.644194434,-5.237543491,0.772157907,8.525348488,49348.74397,8196.826379,0.8339,90,98.7887,100,120850.0516,69.06720378
1776.277675,0.020558769,1931.7037,-12494.34527,659.3126542,0.620300834,-4.012133326,-5.315608512,0.772157907,8.525348488,49348.74397,8196.826379,0.8339,90,98.7887,100,120850.0516,77.01476942
2109.718351,0.024418036,2122.399336,-13727.77311,-1113.904911,0.526534633,-3.405649378,-5.307041962,0.772157906,8.525348488,49348.74398,8196.826379,0.8339,90,98.7887,100,120850.0516,84.5847211
