UX,UY,UZ,PX,PY,PZ
-642.6125933,4156.446776,8037.262977,-613.6786236,3969.432857,8059.76073
-569.4360777,3683.137825,8119.688475,-540.0832574,3493.390357,8137.238427
-495.3267809,3203.795604,8188.799642,-465.5844819,3011.504383,8201.090424
-420.3706113,2718.975772,8243.89491,-390.2737381,2524.366416,8250.623767
-344.6666047,2229.318897,8284.307047,-314.2556759,2032.653375,8285.185644
-268.3267998,1735.549651,8309.417518,-237.6478735,1537.125803,8304.178161
-191.475708,1238.473378,8318.671424,-160.5801275,1038.623277,8307.073477
-114.2493363,738.9697779,8311.592397,-83.19328155,538.0568293,8293.428613
-36.79374499,237.9835757,8287.796748,-5.637585402,36.39833364,8262.89919
40.73684702,-263.4877346,8247.006064,71.92938837,-465.3329707,8215.251288
118.1823637,-764.4087738,8189.057496,149.3452094,-966.0864237,8150.370661
195.3794984,-1263.723267,8113.91102,217.1950777,-1404.963726,8079.050208
