UY,UZ,Wx,Wy,Wz,,Wmag
-6081.470174,6424.060593,-1.23E-05,7.99E-05,-0.000142254,,0.000163612
-9812.251319,3691.869341,-2.03E-05,0.000131145,-0.000687947,,0.000700631
-12592.76021,563.3462708,2.17E-05,-0.000141796,-0.001699155,,0.0017052
-14658.7125,-2614.002864,0.000171617,-0.001111258,-0.003181558,,0.003374412
-16217.16105,-5708.517877,0.000487491,-0.003151063,-0.005181145,,0.006083676
-17410.07727,-8678.214199,0.001018949,-0.006578941,-0.007773677,,0.010234783
-18331.69528,-11514.80764,0.001806282,-0.011651855,-0.01103951,,0.016152373
-19045.75374,-14222.29991,0.002882227,-0.018577538,-0.015050847,,0.024082362
-19596.69981,-16808.80374,0.004273817,-0.027526423,-0.019867597,,0.03421536
-20016.501,-19283.36894,0.006003797,-0.038640838,-0.025537034,,0.04670439
-20328.80637,-21654.76201,0.008091636,-0.052041661,-0.032094877,,0.061675686
-20551.5512,-23931.03495,0.010554217,-0.067832958,-0.039566731,,0.079235269
-20698.63558,-26119.41797,0.013406403,-0.086105384,-0.047969535,,0.099473339
-20781.03778,-28226.3428,0.016661376,-0.106938627,-0.057312816,,0.122467262
-20807.57288,-30257.5139,0.020330906,-0.130403228,-0.067599807,,0.148283787
-20785.42256,-32217.99246,0.024425626,-0.156561986,-0.07882834,,0.176980716
-20720.51329,-34112.27831,0.028955109,-0.185471024,-0.090991629,,0.208608187
-20617.7918,-35944.38414,0.033928052,-0.217180643,-0.104078906,,0.24320971
-20481.42928,-37717.90051,0.03935238,-0.251735996,-0.118075939,,0.280822985
-20314.97531,-39436.05185,0.045235306,-0.28917763,-0.132965499,,0.321480573
-20121.47552,-41101.74429,0.051583394,-0.329541959,-0.148727734,,0.365210471
-19903.56274,-42717.60638,0.05840265,-0.372861639,-0.165340468,,0.412036578
-19663.52856,-44286.02379,0.065698534,-0.419165883,-0.182779497,,0.46197909
-19403.38002,-45809.16883,0.073476024,-0.468480736,-0.201018799,,0.515054836
-19124.88502,-47289.02578,0.081739642,-0.520829298,-0.220030747,,0.571277565
-18829.60905,-48727.4125,0.0904935,-0.576231945,-0.239786277,,0.630658217
-18518.94518,-50125.99906,0.099741273,-0.634706505,-0.260255015,,0.693205123
-18194.1386,-51486.32385,0.109486289,-0.696268395,-0.28140544,,0.758924204
-17856.3071,-52809.80748,0.119731531,-0.76093078,-0.303204963,,0.827819148
-17506.45799,-54097.76488,0.130479611,-0.828704685,-0.325620051,,0.89989155
-17145.50238,-55351.41593,0.141732849,-0.899599116,-0.348616282,,0.975141058
-16774.26726,-56571.89461,0.15349324,-0.973621141,-0.372158449,,1.053565476
-16393.50564,-57760.25722,0.165762506,-1.050775997,-0.396210609,,1.135160892
-16003.90533,-58917.48949,0.178542048,-1.131067168,-0.420736138,,1.219921759
-15606.09637,-60044.51293,0.191833049,-1.214496445,-0.445697797,,1.307840992
-15200.65751,-61142.19046,0.20563639,-1.301064014,-0.47105776,,1.398910042
-14788.12173,-62211.33136,0.219952703,-1.390768509,-0.496777661,,1.493118978
-14368.98111,-63252.69579,0.23478239,-1.483607058,-0.522818634,,1.590456537
-13943.69103,-64266.99874,0.250125617,-1.579575367,-0.549141334,,1.690910219
-13512.67387,-65254.91362,0.265982308,-1.678667728,-0.575705964,,1.794466296
-13076.32228,-66217.07544,0.282352157,-1.780877098,-0.602472313,,1.901109904
-12635.00196,-67154.08375,0.299234666,-1.886195127,-0.629399754,,2.010825078
-12189.05429,-68066.50526,0.316629104,-1.994612198,-0.656447278,,2.123594792
-11738.79848,-68954.87613,0.334534533,-2.106117461,-0.68357351,,2.239401004
-11284.53362,-69819.70422,0.352949828,-2.220698882,-0.710736709,,2.358224708
-10826.54043,-70661.47097,0.37187364,-2.338343244,-0.737894792,,2.480045938
-10365.08287,-71480.63321,0.391304456,-2.459036227,-0.765005339,,2.604843856
-9900.409519,-72277.62477,0.411240563,-2.582762379,-0.792025596,,2.732596723
-9432.754918,-73052.85797,0.431680031,-2.709505189,-0.818912489,,2.863281978
-8962.340678,-73806.72495,0.452620804,-2.8392471,-0.845622621,,2.996876258
-8489.376534,-74539.59897,0.474060602,-2.971969508,-0.872112285,,3.133355398
-8014.061287,-75251.83549,0.495996989,-3.107652821,-0.89833745,,3.272694493
-7536.583657,-75943.77325,0.518427342,-3.246276461,-0.924253777,,3.414867906
-7057.123061,-76615.73525,0.541348882,-3.387818888,-0.949816609,,3.559849297
-6575.850311,-77268.02962,0.564758658,-3.532257624,-0.974980973,,3.707611652
-6092.92827,-77900.95046,0.588653535,-3.679569263,-0.999701582,,3.858127292
-5608.512429,-78514.7786,0.613030247,-3.829729501,-1.023932811,,4.011367913
-5122.751453,-79109.78228,0.63788534,-3.982713141,-1.047628723,,4.167304598
-4635.787671,-79686.21786,0.66321522,-4.138494123,-1.070743039,,4.325907846
-4147.757532,-80244.33037,0.689016126,-4.297045518,-1.093229137,,4.487147574
-3658.792022,-80784.35412,0.715284131,-4.458339568,-1.115040049,,4.650993163
-3169.01705,-81306.51319,0.742015198,-4.622347698,-1.136128448,,4.817413481
-2678.553799,-81811.02194,0.769205086,-4.78904051,-1.156446643,,4.986376872
-2187.519061,-82298.08544,0.79684943,-4.958387811,-1.175946558,,5.1578512
-1696.02554,-82767.89994,0.824943729,-5.130358636,-1.19457973,,5.331803881
-1204.182129,-83220.65322,0.853483312,-5.304921232,-1.212297302,,5.508201865
-712.094182,-83656.52498,0.882463381,-5.48204311,-1.229049992,,5.687011708
-219.8637506,-84075.68718,0.911878988,-5.661691021,-1.244788092,,5.868199545
272.4101837,-84478.30437,0.941725045,-5.843830988,-1.259461448,,6.051731142
764.6314977,-84864.53398,0.97199633,-6.028428324,-1.273019446,,6.237571918
1256.706727,-85234.52663,1.002687477,-6.215447616,-1.285410998,,6.425686942
1748.54488,-85588.42636,1.033792987,-6.40485277,-1.296584508,,6.616040986
2240.05726,-85926.37089,1.065307222,-6.596606996,-1.306487879,,6.808598528
2731.157306,-86248.49186,1.097224399,-6.790672839,-1.315068461,,7.003323786
3221.760431,-86554.91504,1.12953864,-6.987012178,-1.322273063,,7.200180746
3711.783879,-86845.76054,1.162243895,-7.185586236,-1.3280479,,7.399133169
4201.146587,-87121.14302,1.19533401,-7.386355612,-1.332338587,,7.600144652
4689.769051,-87381.17181,1.228802696,-7.589280263,-1.335090114,,7.803178621
5177.573205,-87625.95114,1.262643524,-7.794319544,-1.336246807,,8.008198384
5664.4823,-87855.58027,1.296849966,-8.001432188,-1.335752318,,8.215167141
6150.420793,-88070.15365,1.331415355,-8.210576355,-1.33354957,,8.42404804
6635.314238,-88269.76104,1.366332896,-8.421709616,-1.329580765,,8.634804193
7119.089185,-88454.48765,1.401595689,-8.634788968,-1.323787311,,8.847398705
7601.673079,-88624.41428,1.437196709,-8.84977087,-1.31610981,,9.061794737
8082.994167,-88779.61739,1.473128818,-9.066611227,-1.306488026,,9.277955519
8562.981407,-88920.16925,1.509384744,-9.285265427,-1.294860834,,9.495844403
9041.564375,-89046.13802,1.545957126,-9.505688328,-1.281166188,,9.715424892
9518.673188,-89157.58781,1.582838476,-9.72783431,-1.26534109,,9.936660711
9994.238416,-89254.57884,1.620021209,-9.951657254,-1.24732152,,10.15951582
10468.191,-89337.16746,1.657497615,-10.17711058,-1.227042424,,10.38395451
10940.46218,-89405.40623,1.695259891,-10.40414724,-1.20443764,,10.60994137
11410.9834,-89459.34399,1.733300127,-10.63271977,-1.179439863,,10.83744146
11879.68627,-89499.02596,1.77161032,-10.86278031,-1.15198059,,11.06642031
12346.50246,-89524.49374,1.810182355,-11.09428054,-1.121990058,,11.29684392
12811.36362,-89535.7854,1.849008039,-11.32717182,-1.089397203,,11.52867895
13274.20134,-89532.93549,1.88807907,-11.56140513,-1.054129576,,11.76189272
13734.94706,-89515.97513,1.927387051,-11.79693111,-1.016113302,,11.99645326
